상품명,채널구분,통합판매수량,국내판매수량,해외판매수량,통합매출_KRW,국내매출_KRW,해외매출_KRW환산,평균단가_KRW,총주문건수,국내주문건수,해외주문건수,최초판매일,시즌
Cotton Ribbon Shorts White,공통,68.0,64.0,4.0,3326530.7291666665,3027145.0,299385.7291666667,48919.56954656862,67.0,63.0,4.0,2025-01-02,캐리오버
Knit Pleats Skirt Dark Gray,공통,69.0,56.0,13.0,5168094.666666666,3526250.0,1641844.6666666665,74899.922705314,69.0,56.0,13.0,2026-02-07,26 VT
Buttons Baby Tee White,공통,68.0,59.0,9.0,2406449.3439393938,1884255.0,522194.3439393939,35388.9609402852,68.0,59.0,9.0,2025-05-18,25 SS 02
Blooming Tie Shirt Blue,공통,67.0,61.0,6.0,4563723.125,3953545.0,610178.125,68115.27052238806,66.0,60.0,6.0,2025-04-11,25 SS 01
Polo Hockey Jersey Navy,공통,67.0,63.0,4.0,5087555.866666666,4729170.0,358385.86666666664,75933.6696517413,67.0,63.0,4.0,2025-04-09,25 SS 01
Wool Check Duffle Coat Navy,공통,66.0,64.0,2.0,10977537.115384616,10714100.0,263437.1153846154,166326.31993006993,66.0,64.0,2.0,2025-01-01,24 홀리데이컬렉션
Star Lace Leg Warmer,공통,65.0,50.0,15.0,1774786.7166666666,868920.0,905866.7166666666,27304.411025641024,65.0,50.0,15.0,2025-05-17,25 SS 02
Knit Hockey Jersey Skyblue,공통,64.0,62.0,2.0,3781389.7454545456,3653350.0,128039.74545454544,59084.214772727275,64.0,62.0,2.0,2025-04-12,25 SS 01
Stilla Lace L/S Khaki,공통,63.0,50.0,13.0,4166742.6125,2814900.0,1351842.6125,66138.77162698412,63.0,50.0,13.0,2025-09-12,25 FW 01
P Pleats Mid Skirt Navy,공통,63.0,56.0,7.0,3569362.625,2937420.0,631942.625,56656.5496031746,63.0,56.0,7.0,2025-04-10,25 SS 01
Double Velvet Ties Shirt Butter,공통,63.0,51.0,12.0,4296691.958333333,3141280.0,1155411.9583333333,68201.45965608465,63.0,51.0,12.0,2025-01-07,24 08 FW
Berry BadBear Tee White,공통,62.0,56.0,6.0,2525816.630952381,2122940.0,402876.63095238095,40738.97791858679,62.0,56.0,6.0,2025-01-07,배드베어
